province,last_updated,date,change_cases,change_fatalities,change_tests,change_hospitalizations,change_criticals,change_recoveries,change_vaccinations,change_vaccinated,change_vaccines_distributed,total_cases,total_fatalities,total_tests,total_hospitalizations,total_criticals,total_recoveries,total_vaccinations,total_vaccinated,total_vaccines_distributed
,,2020-06-26,10,1,1978,2,-2,28,0,,,2872,174,187816,17,5,2545,0,,
,,2020-06-27,10,0,1759,0,0,0,0,,,2882,174,189575,17,5,2545,0,,
,,2020-06-28,14,0,1650,0,0,0,0,,,2896,174,191225,17,5,2545,0,,
,,2020-06-29,2,0,1275,1,0,32,0,,,2898,174,192500,18,5,2577,0,,
,,2020-06-30,12,0,1254,0,-1,13,0,,,2910,174,193754,18,4,2590,0,,
,,2020-07-01,15,0,1693,0,0,0,0,,,2925,174,195447,18,4,2590,0,,
,,2020-07-02,9,3,1801,-1,-2,13,0,,,2934,177,197248,17,2,2603,0,,
,,2020-07-03,13,0,1517,2,0,5,0,,,2947,177,198765,19,2,2608,0,,
,,2020-07-04,9,0,2157,0,0,0,0,,,2956,177,200922,19,2,2608,0,,
,,2020-07-05,15,0,1985,0,0,0,0,,,2971,177,202907,19,2,2608,0,,
,,2020-07-06,7,6,1489,-3,2,21,0,,,2978,183,204396,16,4,2629,0,,
,,2020-07-07,12,0,1278,0,0,16,0,,,2990,183,205674,16,4,2645,0,,
,,2020-07-08,18,3,2023,1,-1,15,0,,,3008,186,207697,17,3,2660,0,,
,,2020-07-09,20,0,2138,0,1,7,0,,,3028,186,209835,17,4,2667,0,,
,,2020-07-10,25,1,2624,-1,1,12,0,,,3053,187,212459,16,5,2679,0,,
,,2020-07-11,21,0,2722,0,0,0,0,,,3074,187,215181,16,5,2679,0,,
,,2020-07-12,20,0,2333,0,0,0,0,,,3094,187,217514,16,5,2679,0,,
,,2020-07-13,21,2,2089,-2,0,39,0,,,3115,189,219603,14,5,2718,0,,
,,2020-07-14,13,0,1494,0,0,12,0,,,3128,189,221097,14,5,2730,0,,
,,2020-07-15,21,0,2396,0,0,23,0,,,3149,189,223493,14,5,2753,0,,
,,2020-07-16,21,0,2654,1,-2,36,0,,,3170,189,226147,15,3,2789,0,,
,,2020-07-17,28,0,3146,3,-1,13,0,,,3198,189,229293,18,2,2802,0,,
,,2020-07-18,51,0,2818,0,0,0,0,,,3249,189,232111,18,2,2802,0,,
,,2020-07-19,19,0,2532,0,0,0,0,,,3268,189,234643,18,2,2802,0,,
,,2020-07-20,30,0,2026,-2,2,56,0,,,3298,189,236669,16,4,2858,0,,
,,2020-07-21,30,0,1677,-1,-1,15,0,,,3328,189,238346,15,3,2873,0,,
,,2020-07-22,34,0,2668,2,0,15,0,,,3362,189,241014,17,3,2888,0,,
,,2020-07-23,30,1,3136,-1,0,10,0,,,3392,190,244150,16,3,2898,0,,
,,2020-07-24,27,1,2567,-4,0,36,0,,,3419,191,246717,12,3,2934,0,,
,,2020-07-25,36,0,2661,0,0,0,0,,,3455,191,249378,12,3,2934,0,,
,,2020-07-26,21,0,2627,0,0,0,0,,,3476,191,252005,12,3,2934,0,,
,,2020-07-27,24,2,1869,-1,0,109,0,,,3500,193,253874,11,3,3043,0,,
,,2020-07-28,21,1,1855,-2,0,33,0,,,3521,194,255729,9,3,3076,0,,
,,2020-07-29,41,0,2641,-3,-1,33,0,,,3562,194,258370,6,2,3109,0,,
,,2020-07-30,29,0,3371,-1,0,46,0,,,3591,194,261741,5,2,3155,0,,
,,2020-07-31,50,1,3264,0,0,13,0,,,3641,195,265005,5,2,3168,0,,
,,2020-08-01,43,0,2162,0,0,0,0,,,3684,195,267167,5,2,3168,0,,
,,2020-08-02,29,0,2011,0,0,0,0,,,3713,195,269178,5,2,3168,0,,
,,2020-08-03,46,0,1760,0,0,0,0,,,3759,195,270938,5,2,3168,0,,
,,2020-08-04,28,0,1516,3,2,105,0,,,3787,195,272454,8,4,3273,0,,
,,2020-08-05,47,0,1729,1,2,15,0,,,3834,195,274183,9,6,3288,0,,
,,2020-08-06,47,0,2558,2,-1,27,0,,,3881,195,276741,11,5,3315,0,,
,,2020-08-07,53,0,3054,0,-1,38,0,,,3934,195,279795,11,4,3353,0,,
,,2020-08-08,50,0,2983,0,0,0,0,,,3984,195,282778,11,4,3353,0,,
,,2020-08-09,37,0,2801,0,0,0,0,,,4021,195,285579,11,4,3353,0,,
,,2020-08-10,44,0,2500,-2,-1,72,0,,,4065,195,288079,9,3,3425,0,,
,,2020-08-11,46,0,2072,-1,2,19,0,,,4111,195,290151,8,5,3444,0,,
,,2020-08-12,85,1,2976,0,0,25,0,,,4196,196,293127,8,5,3469,0,,
