County,Province_State,Country_Region,n,Population
NA,Anhui,Mainland China,43,59500510
NA,Beijing,Mainland China,42,19612368
NA,Chongqing,Mainland China,44,28846170
NA,Fujian,Mainland China,41,36894216
NA,Gansu,Mainland China,6,25575254
NA,Guangdong,Mainland China,45,104303132
NA,Guangxi,Mainland China,38,46026629
NA,Guizhou,Mainland China,30,35806468
NA,Hainan,Mainland China,34,9261518
NA,Hebei,Mainland China,38,71854202
NA,Heilongjiang,Mainland China,37,38312224
NA,Henan,Mainland China,44,94023567
NA,Hubei,Mainland China,49,57237740
NA,Hunan,Mainland China,43,65683722
NA,Jiangsu,Mainland China,41,78659903
NA,Jiangxi,Mainland China,43,44567475
NA,Liaoning,Mainland China,32,43746323
NA,Shaanxi,Mainland China,39,37327378
NA,Shandong,Mainland China,42,100063065
NA,Shanghai,Mainland China,41,23019148
NA,Shanxi,Mainland China,33,37022111
NA,Sichuan,Mainland China,42,80418200
NA,Tianjin,Mainland China,29,12938224
NA,Yunnan,Mainland China,38,45966239
NA,Zhejiang,Mainland China,45,54426891
NA,NA,Luxembourg,23,625976
NA,NA,Lithuania,18,2722291
NA,NA,Lebanon,24,6825442
NA,NA,Latvia,20,1886202
NA,NA,Kyrgyzstan,9,6524191
NA,NA,Kuwait,26,4270563
NA,NA,Kosovo,9,1831000
NA,NA,"Korea, South",29,51470000
NA,NA,Kenya,7,53771300
NA,NA,Kazakhstan,14,18776707
NA,NA,Jordan,18,10203140
NA,NA,Japan,48,126476458
NA,NA,Italy,46,60461828
NA,NA,Israel,29,8655541
NA,NA,Ireland,26,4937796
NA,NA,Iraq,27,40222503
NA,NA,Iran (Islamic Republic of),1,83992953
NA,NA,Iran,42,83992953
NA,NA,Indonesia,25,273523621
NA,NA,India,26,1380004385
NA,NA,Iceland,28,341250
NA,NA,Hungary,19,9660350
NA,Hong Kong,Hong Kong SAR,1,7392000
NA,Hong Kong,Hong Kong,6,7392000
NA,NA,Honduras,11,9904608
NA,NA,Guinea,5,13132792
NA,NA,Greece,27,10423056
NA,NA,Ghana,14,31072945
NA,NA,Germany,39,83783945
NA,NA,Georgia,10,3989175
NA,France,France,11,65273512
NA,French Polynesia,France,1,283007
NA,Guadeloupe,France,12,395700
NA,Martinique,France,9,376480
NA,Mayotte,France,7,270372
NA,Reunion,France,15,859959
NA,NA,France,27,65273512
NA,NA,Finland,27,5540718
NA,NA,Estonia,26,1326539
NA,NA,Egypt,26,102334403
NA,NA,Ecuador,22,17643060
NA,NA,Dominican Republic,19,10847904
NA,NA,Djibouti,1,988002
NA,NA,Diamond Princess,15,
NA,Denmark,Denmark,11,5792203
NA,Faroe Islands,Denmark,18,49290
NA,NA,Denmark,19,5792203
NA,NA,Czechia,27,10708982
NA,NA,Cyprus,17,1207361
NA,NA,Cuba,12,11326616
NA,Diamond Princess,Cruise Ship,13,
NA,NA,Croatia,21,4105268
NA,NA,Cote d'Ivoire,13,24290000
NA,NA,Costa Rica,19,5094114
NA,NA,Congo (Kinshasa),8,81340000
NA,NA,Colombia,21,50882884
NA,Anhui,China,29,59500510
NA,Beijing,China,29,19612368
NA,Chongqing,China,29,28846170
NA,Fujian,China,29,36894216
NA,Gansu,China,29,25575254
NA,Guangdong,China,29,104303132
NA,Guangxi,China,29,46026629
NA,Guizhou,China,29,35806468
NA,Hainan,China,29,9261518
NA,Hebei,China,29,71854202
NA,Heilongjiang,China,29,38312224
NA,Henan,China,29,94023567
NA,Hong Kong,China,29,7392000
NA,Hubei,China,29,57237740
NA,Hunan,China,29,65683722
NA,Inner Mongolia,China,9,24706321
NA,Jiangsu,China,29,78659903
NA,Jiangxi,China,29,44567475
NA,Liaoning,China,29,43746323
NA,Shaanxi,China,29,37327378
NA,Shandong,China,29,100063065
NA,Shanghai,China,29,23019148
NA,Shanxi,China,29,37022111
NA,Sichuan,China,29,80418200
NA,Tianjin,China,29,12938224
NA,Yunnan,China,29,45966239
NA,Zhejiang,China,29,54426891
NA,NA,Chile,24,19116209
NA,Alberta,Canada,21,4345737
NA,British Columbia,Canada,24,5020302
NA,Manitoba,Canada,9,1360396
NA,New Brunswick,Canada,3,772094
NA,Newfoundland and Labrador,Canada,13,523790
NA,Nova Scotia,Canada,12,965382
NA,Ontario,Canada,25,14446515
NA,Quebec,Canada,21,8433301
NA,Saskatchewan,Canada,12,1168423
NA,NA,Cameroon,11,26545864
NA,NA,Cambodia,11,16718971
NA,NA,Burkina Faso,16,20903278
NA,NA,Bulgaria,20,6948445
NA,NA,Brunei,16,428697
NA,NA,Brazil,27,212559409
NA,NA,Bosnia and Herzegovina,18,3280815
NA,NA,Bolivia,9,11050000
NA,NA,Belgium,34,11589616
NA,NA,Belarus,10,9449321
NA,NA,Bangladesh,3,164689383
NA,NA,Bahrain,30,1701583
NA,NA,Azerbaijan,14,10139175
NA,NA,Austria,32,9006400
NA,New South Wales,Australia,26,8089526
NA,Queensland,Australia,21,5095100
NA,South Australia,Australia,17,1751693
NA,Victoria,Australia,22,6594804
NA,Western Australia,Australia,18,2621680
NA,NA,Armenia,21,2963234
NA,NA,Argentina,20,45195777
NA,NA,Andorra,18,77265
NA,NA,Algeria,19,43851043
NA,NA,Albania,17,2877800
NA,NA,Afghanistan,13,38928341
